,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
383460,2018-02-05,2018-02-11,1 weeks,274.0,171500.0,24.5,103.0,0.014405594405594406,269.0,597.0,597.0,215000.0,6637.0,7150.0,87.0,115.0,200000.0,0.9525057143682903,64.0,26.09489051094891,0.015519059816182009
383465,2019-09-02,2019-09-08,1 weeks,362.0,210000.0,29.0,488.0,0.06373253232336425,325.0,755.0,755.0,249900.0,7125.0,7657.0,61.0,133.0,244000.0,0.9632595304891832,33.5,21.151933701657452,0.06849122807017544
383478,2020-09-07,2020-09-13,1 weeks,421.0,239900.0,34.0,412.0,0.0566400879846027,437.0,765.0,765.0,265000.0,6641.0,7274.0,46.0,130.0,280000.0,0.9633913416438128,28.5,17.27790973871734,0.062038849570847765
383485,2017-11-27,2017-12-03,1 weeks,737.0,187000.0,29.0,135.0,0.015202702702702704,351.0,523.0,523.0,177750.0,8141.0,8880.0,79.0,236.0,205000.0,0.936128380891652,54.0,12.048846675712348,0.01658272939442329
383488,2018-09-10,2018-09-16,1 weeks,494.0,212950.0,35.0,467.0,0.062266666666666665,415.0,715.0,715.0,189900.0,6827.0,7500.0,58.0,174.0,216500.0,0.9720764651325674,32.5,15.182186234817813,0.06840486304379667
383491,2017-04-10,2017-04-16,1 weeks,468.0,179900.0,36.0,129.0,0.013652238332098636,478.0,717.0,717.0,189900.0,8742.0,9449.0,59.0,90.0,185000.0,0.9681008475024868,43.5,20.19017094017094,0.014756348661633494
383517,2018-04-16,2018-04-22,1 weeks,495.0,199900.0,34.0,333.0,0.04483037156704362,532.0,823.0,823.0,219900.0,6676.0,7428.0,50.0,104.0,218000.0,0.9892141756548538,32.0,15.006060606060606,0.04988016776512882
383520,2017-08-14,2017-08-20,1 weeks,553.0,195000.0,34.0,146.0,0.015508816656044188,405.0,578.0,578.0,200000.0,8780.0,9414.0,73.0,111.0,189900.0,0.9745117335223341,35.0,17.023508137432188,0.01662870159453303
383529,2018-11-19,2018-11-25,1 weeks,328.0,185000.0,31.0,219.0,0.030706674144699943,251.0,369.0,369.0,164750.0,6681.0,7132.0,66.0,114.0,215000.0,0.9385964912280702,35.0,21.743902439024385,0.0327795240233498
383532,2018-04-23,2018-04-29,1 weeks,645.0,195000.0,34.0,381.0,0.05095626588203825,553.0,824.0,824.0,225000.0,6706.0,7477.0,48.0,107.0,219000.0,0.9690397398126732,33.0,11.592248062015505,0.05681479272293469
383552,2020-06-29,2020-07-05,1 weeks,574.0,240000.0,27.0,330.0,0.046322290847838295,453.0,657.0,657.0,249900.0,6365.0,7124.0,48.0,160.0,269900.0,0.9583501683501684,41.0,12.411149825783973,0.051846032992930086
383593,2019-04-01,2019-04-07,1 weeks,400.0,220000.0,25.0,407.0,0.052925877763329,461.0,896.0,896.0,229900.0,7007.0,7690.0,47.0,127.0,235000.0,0.9809422326772184,46.5,19.225,0.05808477237048665
383599,2020-06-15,2020-06-21,1 weeks,325.0,250000.0,30.0,386.0,0.053521907931225736,435.0,800.0,800.0,261000.0,6505.0,7212.0,55.0,114.0,269900.0,0.9807949279106692,48.0,22.190769230769234,0.059338970023059184
383604,2019-07-22,2019-07-28,1 weeks,521.0,215900.0,32.0,432.0,0.05410821643286573,475.0,590.0,590.0,210000.0,7243.0,7984.0,58.0,160.0,239900.0,0.9660057408672807,35.0,15.324376199616125,0.059643794008007726
383633,2020-03-30,2020-04-05,1 weeks,483.0,243000.0,29.0,105.0,0.016519823788546256,223.0,222.0,222.0,239500.0,5879.0,6356.0,53.0,192.0,250000.0,1.0338983050847457,40.0,13.159420289855072,0.01786018030277258
383642,2020-04-13,2020-04-19,1 weeks,364.0,255865.0,32.0,78.0,0.012920324664568494,181.0,255.0,255.0,240000.0,5727.0,6037.0,62.0,92.0,249900.0,0.9840000000000002,37.0,16.585164835164836,0.013619696176008382
383651,2017-10-02,2017-10-08,1 weeks,416.0,197500.0,34.0,198.0,0.021278882321332616,304.0,603.0,603.0,195000.0,8733.0,9305.0,72.0,136.0,204900.0,0.9840707964601768,41.0,22.367788461538463,0.022672621092408102
383661,2020-10-19,2020-10-25,1 weeks,488.0,239950.0,28.0,462.0,0.06316652994257588,535.0,757.0,757.0,264800.0,6504.0,7314.0,46.0,186.0,299888.0,0.9987888374511746,33.5,14.987704918032787,0.07103321033210333
383692,2020-08-17,2020-08-23,1 weeks,582.0,250000.0,30.0,388.0,0.05413701688293568,480.0,739.0,739.0,249900.0,6459.0,7167.0,45.0,119.0,279900.0,0.9796503169469812,33.0,12.314432989690724,0.060071218454869166
383712,2018-10-29,2018-11-04,1 weeks,643.0,200000.0,35.0,458.0,0.06031871460555775,349.0,628.0,628.0,200000.0,6975.0,7593.0,58.0,178.0,219900.0,0.944259429688832,29.0,11.808709175738725,0.06566308243727599
